   Z2  A2f    Ex    nmult gmult  
   57  145     3.744    0    4
   52  135     8.524    1    2
   52  138    10.357    2    2
   55  141     7.116    1    1
   57  149     9.696    1    4
   55  145     8.278    1    4
   55  142    14.365    2    1
   55  141     9.216    1    3
   54  139    15.482    2    3
   52  132    10.032    1    2
   56  147    14.296    2    2
   56  148    14.419    2    3
   56  146    11.129    1    3
   49  130     6.194    1    3
   55  142     2.398    0    2
   54  139     1.870    0    1
   55  146     6.137    1    7
   54  139    10.395    2    1
   53  134     7.263    1    2
   52  135     9.871    1    3
   55  143    10.201    1    4
   57  147     4.480    0    6
   52  138     9.760    1    3
   52  135    16.926    2    1
   51  132     0.766    0    1
   57  144    11.251    1    3
   51  134    13.137    1    3
   54  141     0.129    0    0
   52  135     2.486    0    1
   51  134     9.248    1    2
   52  133     2.264    0    1
   57  145     6.042    0    4
   56  142     8.367    1    2
   50  132     6.010    0    1
   52  135     8.816    1    2
   53  137     6.651    1    4
   51  131    12.871    1    2
   51  132     8.803    1    2
   55  139     1.773    0    3
   53  139     8.084    1    8
   57  148     9.710    1    5
   61  157    11.326    1    2
   51  134    10.120    1    2
   59  152     1.183    0    5
   55  143     6.924    1    4
   53  141    11.311    2    2
   55  139     7.987    1    3
   54  141     5.406    1    2
   54  139    11.764    2    1
   57  149    12.216    1    7
   52  135     9.469    1    2
   52  136     6.729    1    1
   55  144    15.683    2    5
   55  146    12.923    2    3
   54  143    12.349    2    4
   55  142     7.804    1    4
   56  143    10.822    2    1
   49  129     9.619    1    1
   54  143     5.307    1    2
   55  142    14.638    2    3
   53  138     3.682    0    2
   52  135     6.302    1    1
   52  134     4.347    0    1
   50  133     4.814    0    7
   54  141     9.811    1    5
   51  133     3.938    0    2
   53  136    12.262    1    4
   56  146     8.789    1    3
   57  149    13.266    2    2
   53  136     4.170    0    5
   59  150     3.510    0    3
   50  133     8.276    1    1
   51  133    12.763    1    3
   52  133    12.786    1    3
   52  136    11.680    1    3
   54  141     3.048    0    5
   59  153    17.360    2    3
   51  135     4.754    1    1
   52  133     4.763    0    2
   53  141     1.694    0    3
   53  140     8.742    1    5
   50  132     7.704    1    1
   53  137     4.440    0    4
   56  147     8.694    1    8
   55  143     9.536    1    4
   56  144     9.883    1    3
   52  139     7.636    1    4
   52  136    16.715    2    3
   52  134     7.097    0    1
   52  135    15.377    2    3
   54  142    13.537    2    4
   50  134     5.951    1    6
   55  144    11.063    2    4
   56  145     6.179    1    6
   56  144    17.170    2    3
   57  150     8.330    1    3
   56  146    10.145    1    5
   56  144     5.903    0    5
   57  149    13.904    2    4
   52  138     5.129    1    1
   55  146    17.828    3    3
   57  149    15.060    1    4
   54  144     5.928    1    1
   53  137    11.440    1   11
   51  136     4.874    0    7
   52  138    11.978    2    3
   59  154     6.430    1    4
   54  142     4.241    0    2
   52  137    10.742    2    1
   56  144     9.748    1    2
   52  134     1.437    0    1
   53  138     6.170    1    4
   54  142     7.396    1    4
   52  135     8.907    1    3
   50  128     5.037    0    2
   52  138    12.657    2    3
   55  141     5.325    0    4
   54  140     4.548    0    4
   52  133    10.813    1    4
   50  130     1.859    0    1
   49  128     7.721    1    1
   52  134     3.261    0    1
   55  142    13.679    2    4
   52  136    15.048    2    2
   51  135     6.857    1    6
   55  142     8.459    1    4
   51  135    13.921    2    2
   53  138     7.968    1    3
   53  139    14.201    1    6
   53  134     4.328    0    2
   58  150    10.864    1    4
   55  139    10.995    1    7
   55  142     2.720    0    3
   59  152    21.775    2    3
   52  135     9.020    1    1
   52  134     7.142    0    4
   50  130     3.782    0    4
   52  137     9.327    1    7
   53  137    10.414    2    3
   54  143     5.877    1    3
   56  145     4.913    1    3
   54  139    12.530    2    1
   56  146     2.898    0    6
   53  137     8.824    1    4
   52  135     8.418    1    2
   57  148    14.039    2    2
   55  143    15.795    2    3
   53  138     4.614    1    2
   52  133    11.936    1    3
   51  133     7.317    0    4
   53  140     0.493    0    1
   54  139    10.350    1    2
   58  147     1.117    0    2
   52  133     8.401    1    2
   55  143     9.017    1    4
   52  134    13.354    1    3
   58  152    10.484    1    4
   53  136     6.191    1    2
   54  141    12.163    2    1
   54  137     8.178    1    2
   56  146    10.388    1    6
   54  142     3.971    0    3
   53  141     6.516    1    3
   53  137     2.140    0    2
   50  130    10.443    1    2
   57  148    16.268    2    4
   54  141     8.326    1    6
   50  132    12.681    1    2
   55  142     7.121    1    2
   54  141     8.806    1    4
   54  138     1.020    0    1
   53  135     5.188    0    4
   51  131     3.838    0    2
   54  139    11.141    1    5
   52  138     5.303    1    1
   57  150     7.376    1    2
   55  143     5.255    0    5
   52  136     6.070    1    1
   50  133     7.777    1    1
   54  141    16.378    3    1
   50  131     4.057    0    2
   54  138     9.604    1    1
   54  139    15.819    2    3
   55  144    18.472    3    5
   52  137     6.318    1    3
   55  144    10.091    1    5
   50  132     6.864    0    1
   53  139     9.044    1    4
   55  144     6.539    1    3
   52  134    13.618    1    2
   56  146    15.776    2    6
   51  132     7.230    0    7
   51  134    14.433    1    2
   53  141     4.025    0    5
