   Z2  A2f    Ex    nmult gmult  
   51  133     6.471    0    2
   54  138    16.368    2    6
   50  129     5.480    1    0
   54  138     8.022    1    1
   52  135    15.606    2    4
   51  134     6.375    1    2
   56  147     4.154    1    2
   52  135    12.081    1    2
   60  155    10.747    1    6
   55  143    15.570    2    3
   50  129     8.321    1    1
   51  132     6.269    0    4
   52  133     8.419    1    2
   50  131    10.863    1    2
   53  140     0.964    0    3
   57  147    11.116    1    4
   56  148    12.318    2    3
   52  137     3.216    0    3
   53  141    14.191    2    3
   51  133     3.601    0    2
   55  144    11.034    2    0
   56  145    12.039    1    3
   54  138     8.769    1    2
   54  140    16.898    2    4
   52  135     8.713    1    1
   52  136    13.049    2    1
   55  144     5.328    0    1
   53  137     5.557    0    4
   53  138    11.106    2    2
   54  140     8.225    1    2
   53  138     9.152    1    1
   53  138     6.426    1    1
   55  141     2.550    0    3
   51  128     7.917    1    2
   55  143     3.004    0    5
   55  140    12.090    1    3
   55  142    11.792    1    5
   56  144    15.431    2    3
   52  134     7.596    0    3
   55  140    11.278    2    1
   53  136     8.838    1    2
   51  131     4.738    0    1
   60  155    23.692    2    4
   51  133     8.702    1    2
   56  147     5.910    1    5
   52  131     7.778    1    5
   51  132    13.998    1    4
   50  133    12.482    2    2
   58  149    17.954    2    3
   55  142     3.053    0    3
   57  148     8.637    1    5
   53  137     6.690    0    9
   57  148    13.089    2    2
   56  146     9.713    1    3
   49  128     4.448    0    3
   51  138     6.382    1    5
   54  141    16.265    3    2
   53  139     4.444    0    3
   55  142     5.342    1    2
   54  140     9.649    1    2
   55  140    13.701    2    1
   53  136    11.358    1    8
   51  133    12.228    1    2
   59  150     4.378    0    4
   56  144    12.299    2    2
   53  136    10.445    1    4
   56  145     8.789    1    5
   53  140    13.769    1    1
   56  145     8.792    1    4
   58  149    10.026    1    6
   51  132     9.782    1    1
   52  136     3.250    0    3
   54  139    14.596    2    3
   56  142    11.318    1    2
   50  131    10.353    1    1
   54  140    10.965    1    2
   49  127    10.177    0    5
   54  140     1.131    0    3
   61  156    16.713    2    4
   52  135     8.890    1    1
   58  151    12.904    2    1
   55  142    12.210    2    1
   53  141     7.532    1    1
   52  138     4.865    0    8
   50  133    11.319    1    1
   53  140    11.307    1    5
   53  140    15.198    2    3
   54  141     6.385    1    4
   51  130     3.103    0    2
   50  130     5.493    0    2
   55  141     3.996    0    5
   55  142    14.020    1    6
   57  150    17.950    2    6
   52  135     8.088    1    1
   53  139     8.970    1    3
   60  154    19.320    2    6
   57  144    10.946    1    4
   55  143    10.725    1    2
   55  143     8.459    1    3
   55  140     5.642    0    8
   52  135     5.183    1    1
   55  142    16.746    2    3
   58  150    12.352    2    2
   54  139    19.008    3    2
   53  141     8.013    1    4
   58  151    10.683    1    5
   52  136     7.831    1    2
   52  132     9.323    1    2
   57  147     2.112    0    5
   54  140    10.323    2    1
   55  142     8.439    1    2
   59  152    10.589    1    4
   52  137     5.646    1    3
   52  136    14.799    2    1
   55  142    12.003    1    8
   55  142    10.983    1    6
   56  146    14.961    2    8
   58  152     8.364    1    3
   54  142     9.514    1    4
   52  136    11.689    1    3
   55  141     9.790    1    2
   56  147    13.452    2    2
   56  146     9.343    1    3
   58  150    18.279    2    5
   49  130     5.745    0    6
   52  135     3.449    0    2
   52  135     3.217    0    2
   54  138     6.518    1    1
   56  144     5.625    0    6
   56  146    14.526    2    4
   55  144     6.647    1    4
   56  145     8.811    1    4
   52  134    11.784    1    1
   52  138    12.219    2    4
   53  135     7.786    0    6
   55  141    12.620    1    2
   51  133     5.154    0    3
   55  145    14.605    2    8
   51  133     8.480    0    3
   51  131     5.610    0    2
   54  141    14.094    2    2
   55  144    19.424    3    2
   52  135    11.137    1    3
   57  150     2.160    0    4
   58  151    11.809    1    5
   52  136     8.214    1    1
   54  142    15.730    2    3
   53  140    13.659    2    5
   57  149     8.922    1    4
   53  136    13.027    1    1
   59  151     2.668    0    4
   53  135     3.504    0    3
   53  138    14.916    2    3
   52  137    15.597    3    1
   51  135    10.616    2    2
   55  142    14.415    2    1
   52  132    10.949    1    2
   54  138    10.040    1    4
   52  136    13.005    1    7
   57  146    12.652    1    7
   50  131    11.406    1    3
   56  146    14.098    2    3
   56  145    10.149    1    3
   53  138     7.468    0    9
   53  139    11.688    2    4
   51  135     7.264    1    3
   52  134     3.494    0    1
   51  135     1.970    0    2
   56  143     4.509    1    1
   55  142    10.234    1    3
   57  147     3.195    0    4
   54  140     6.222    0    7
   55  144    16.990    2    2
   56  145    18.638    3    3
   52  138     6.934    1    2
   56  146    10.412    1    5
   54  140    12.181    2    4
   56  145    10.474    1    3
   55  144    17.291    3    2
   54  140     9.876    2    1
   56  145     5.308    1    3
   54  140    14.036    2    3
   50  129     7.225    1    2
   50  130     8.246    1    1
   53  138     9.558    1    7
   53  138    10.035    2    1
   52  136    12.850    2    1
   51  133    10.088    1    3
   50  131    13.561    1    1
   56  146    17.705    2    6
   53  139     9.170    1    7
   55  144     8.068    1    2
   54  140    15.959    2    3
   58  152    11.055    1    5
   57  148    15.672    2    3
   55  142    10.579    1    4
   59  152     7.963    1    3
   55  146    10.466    2    2
   57  148     5.926    1    3
   56  145    13.949    2    4
   51  133    10.625    1    2
   55  140     5.266    1    2
   48  129     7.669    1    4
   52  133     3.602    0    2
   58  152    19.561    2    6
   60  155    11.842    1    5
   53  136     2.613    0    5
   54  140    10.774    2    2
   53  137    11.392    1    4
   52  135    11.666    1    2
   48  128     7.926    1    4
   57  148     9.627    1    3
   52  135     5.729    1    1
   53  138    10.473    1    8
   53  137     5.395    0    4
   52  134     5.255    0    1
   55  143    11.934    2    3
   49  128    12.063    1    2
   52  134     2.237    0    2
   58  151    22.714    3    9
   54  140    10.838    1    3
   54  141    16.067    2    5
   58  152    11.072    1   11
   53  137     6.933    1    3
   52  135     7.386    1    2
   51  135     5.665    1    2
   51  137     5.298    1    3
   55  141     3.073    0    5
   57  152    12.835    2    2
   58  149    13.085    2    3
   56  145     7.698    1    5
   48  126    12.640    1    6
   59  154    15.295    2    3
   60  155    10.657    1    8
   54  140     7.871    1    1
   55  143     4.993    0    3
   51  132     9.300    1    2
   54  141     5.013    1    2
   52  135     9.852    1    2
   54  141     5.085    1    3
   52  135    10.731    1    1
   51  131     8.638    0    3
   53  136    14.380    2    2
   53  139     7.882    1    3
   52  136     9.042    1    6
   49  127     8.000    1    1
   52  135     1.073    0    2
   56  144    18.052    2    3
   57  148    11.559    1    6
   52  135     5.979    1    1
   57  147     9.741    1    5
   51  130     4.814    0    3
   58  150     9.586    1    3
   51  133     3.736    0    2
   50  133    14.797    2    2
   58  150     9.416    1    6
   51  134     6.941    1    2
   53  139    13.316    2    3
   51  133     5.310    0    2
   58  147     9.540    1    2
   53  138     8.909    1    3
   53  138    10.391    1    3
   52  135    15.011    2    1
   54  142    11.037    1    3
   54  141    10.952    1    6
   54  140     8.016    1    2
   52  135    12.725    2    1
   58  150    14.886    2    5
   51  133    14.374    1    3
   58  151    12.487    1    4
   57  148     8.906    1    4
   57  144     5.766    1    3
   56  147    11.223    2    2
   57  146     7.832    1    6
   53  138     4.097    1    0
   52  135    10.594    1    2
   53  139     8.472    1    3
   55  141    14.429    2    4
   54  140     9.572    1    1
   51  132     7.718    1    1
   53  141     7.396    1    3
   56  145     4.089    0    6
   52  135    11.481    1    4
   53  138    14.891    2    3
   51  133    11.428    1    3
   54  141     6.620    1    5
   53  138    12.337    1    3
   53  136    11.637    1    5
   56  145    14.501    2    4
   55  144     2.837    0    3
   57  150     8.480    1    4
   55  141     1.515    0    2
   54  137     9.385    1    2
   51  134    10.572    1    3
   52  135     8.003    1    2
   55  141     3.650    0    4
   52  134     8.260    0    3
   49  129     5.915    0    2
   51  134     9.280    1    1
   50  129    16.408    1    3
   51  135     3.801    0    4
   56  146    10.691    1    5
   50  133    10.493    1    1
   51  132    10.953    1    1
   52  138     2.767    0    4
   54  138     6.080    0    5
   57  149    13.932    2    6
   51  134     2.491    0    5
   55  146     8.422    1    7
   55  146    17.193    3    2
   57  146     4.808    0    6
   55  141     6.048    1    2
   54  137     5.323    1    1
   51  134     9.604    1    1
   57  147    12.079    2    4
   52  133     1.353    0    1
   55  143     8.850    1    4
   52  133     6.956    1    1
   52  137    12.088    2    2
   52  138     9.430    1    9
   56  143    10.047    1    6
   53  137    13.157    2    2
   55  145     3.465    0    9
   52  134    12.493    1    3
   55  143    10.514    1    3
   51  133     2.880    0    2
   53  140    15.807    2    2
   52  137    10.533    1    6
   56  143    13.672    2    2
   52  136    12.303    1    8
   54  142    11.475    0   13
   55  145    15.965    2    6
   58  153    13.380    2    3
   53  138     9.568    1    3
   51  132     7.095    1    1
   50  129    11.330    1    3
   52  138     9.895    2    2
   54  141     9.233    1    6
   51  134    10.168    1    2
   58  149     5.361    1    3
   56  145    15.269    2    6
   59  153    13.800    2    3
   53  139     4.045    0    3
   53  136     4.083    1    1
   50  134     8.828    1    4
   51  132     8.543    1    2
   54  142    13.868    2    2
   55  145     5.434    1    0
   55  145     6.174    1    3
   55  144     5.631    1    1
   55  141     8.784    1    2
   56  143    13.620    2    2
   51  132    11.750    1    3
   50  132     9.372    1    2
   53  137     3.922    0    3
   56  150    15.213    2    5
   49  128     9.550    1    3
   57  149    22.302    3    2
   53  140    10.270    2    3
   57  149    17.442    2    4
   51  133    14.281    1    9
   53  135     6.292    0    2
   54  141    12.487    2    1
   53  137    15.464    2    5
   55  144     8.897    1    5
   52  134     5.465    0    2
   51  132     5.303    0    3
   54  142    14.561    2    5
   53  136     6.588    1    1
   54  139    15.207    2    2
   56  149    14.534    3    3
   57  146     8.431    1    4
   52  135     7.206    1    1
   53  136     9.046    1    4
   52  137     8.306    1    4
   56  143    14.524    1    5
   60  155    20.011    3    3
   57  147     9.194    1    4
   55  143     9.619    1    3
   49  128     8.771    1    1
   51  133    11.158    1    2
   52  135     8.542    1    2
   55  142     5.775    1    1
   57  146    10.064    1    3
   53  138    15.061    2    8
   55  141     5.470    0    4
   54  140     5.217    0    4
   53  136     2.992    0    4
   55  144     8.058    1    3
   57  149    10.819    1    4
   49  127     9.820    1    7
   52  136     7.793    1    1
   56  147    15.374    2    8
   56  145    15.284    2    8
   53  137     6.221    1    2
   57  147    10.485    1    4
   53  139     7.236    1    1
   54  138     7.111    1    1
   54  138    12.818    2    1
   55  142    14.216    1    6
   57  147     8.450    1    2
   56  143     9.192    1    5
   57  147    10.290    1    3
   56  143     6.401    1    4
   51  133     4.904    0    1
   58  149    19.760    3    4
   55  144    13.207    2    3
   56  145    10.443    1    6
   51  136    11.554    2    3
   54  139    12.163    1    3
   53  136     1.575    0    2
   59  153    14.047    2    2
   53  140     3.507    0    2
   50  130    14.068    1    6
   57  148    19.584    3    4
   55  144     6.527    1    3
   52  135     1.169    0    2
   52  134     8.813    1    1
   57  146    10.232    1    5
   56  146    10.091    1    4
   57  147    13.634    2    3
   49  129     4.529    0    5
   53  135     7.604    0    3
   58  152    19.400    2    5
   59  154    12.368    1    3
   59  153    15.041    2    7
   54  139    10.543    1    4
   50  131    16.226    2    3
   55  143    13.328    2    3
   48  127    11.104    1    3
   51  132     9.292    1    2
   52  133    13.349    1    1
   51  132    12.481    1    3
   53  137     6.494    1    1
   58  153    18.188    2    7
   53  138    13.350    2    1
   56  146     5.698    0    8
   56  146     6.711    0    6
   50  128    14.787    1    3
   56  144     5.902    0    5
   50  131     6.783    1    1
   49  126    18.379    2    2
   57  150     7.978    0   11
   53  140    16.035    2    8
   54  144     8.051    1    6
   60  154    11.209    1    4
   58  149     8.800    1    7
   60  157    28.359    4    1
   58  152     9.525    1    3
   55  142     6.884    1    2
   56  144    15.814    2    3
   58  149     7.880    1    4
   52  137     7.428    1    1
   52  134     3.886    0    1
   55  143    10.605    1    4
   55  142     8.529    1    3
   55  141     9.678    1    3
   55  145     6.155    1    3
   54  141     7.938    1    6
   54  143     8.556    1    5
   50  131     5.033    0    2
   52  136     9.028    1    3
   53  135     6.497    0    3
   52  135     7.118    1    1
   50  133     4.318    1    1
   48  126     8.702    1    2
   55  146    12.505    2    1
   55  143     3.489    0    2
   53  136    10.723    1    2
   53  135     7.355    0    3
   58  152    20.196    3    4
   60  154    16.586    2    5
   55  143    10.548    1    3
   52  137     4.603    1    2
   56  146     7.211    1    3
   57  147     7.933    1    3
   57  148     6.018    1    4
   52  135     3.900    0    3
   56  147     8.356    1    8
   52  137    10.371    2    1
   51  132     8.509    1    1
   58  151    13.791    2    3
   52  135     6.389    1    1
   57  147    18.140    2    4
   53  138     9.455    1    1
   49  125     9.820    1    3
   50  130     8.255    0    4
   53  137     8.314    1    4
   56  146     2.646    0    3
   60  153    12.696    1    4
   49  129    12.849    1    2
   51  135     3.620    0    3
   51  134     8.812    1    2
   57  147     3.447    0    3
   56  148    12.565    1    3
   53  138     8.559    1    3
   55  141     2.271    0    2
   54  141     6.562    1    3
   51  132     9.710    1    2
   59  149     6.796    0    6
   53  138     7.265    1    7
   58  151    19.609    2    4
   55  144    16.106    2    2
   53  137     6.925    1    3
   56  145    11.248    1    5
   54  140    10.880    2    1
   54  140    11.718    2    1
   56  146    16.591    2    6
   54  140    10.748    1    3
   54  138     6.596    1    1
   53  136    10.053    1    2
   51  134     5.850    1    1
   54  141     7.565    1    5
   55  142    11.972    2    0
   56  142     9.738    1    1
   55  143    11.884    2    2
   58  152    21.172    3    1
   57  149    14.197    2    4
   55  144     7.602    1    6
   51  136     1.621    0    2
   57  150     8.904    1    1
   58  151     9.213    1    8
   55  144    12.101    2    3
   53  137    15.613    2    1
   49  130     6.154    1    4
   56  147    10.511    1   10
   57  151    12.846    2    3
   59  153    12.898    1    6
   56  146    10.698    2    2
   53  138    13.861    2    2
   51  131     8.519    0    4
   55  142    13.054    2    1
   56  144     8.524    1    3
   51  134     4.886    1    1
   55  139     4.687    0    4
   57  147     3.700    0    5
   51  131     2.102    0    1
   52  135     8.552    1    1
   55  144     8.903    1    3
   59  153     9.270    1    5
   52  136    10.451    2    1
   52  138     8.686    1    3
   54  142    10.677    2    2
   53  138     6.350    1    4
   54  140    11.921    2    3
   54  143    14.186    3    2
   53  140    17.069    3    2
   58  149     8.380    1    3
   50  130     3.620    0    1
   57  148    11.744    1    8
   55  145    13.219    2    4
   53  138     8.014    1    3
   54  138     7.684    1    3
   52  132     9.258    1    1
   49  128    14.282    2    5
   54  140     7.097    1    1
   55  144     7.695    1    2
   52  136     9.075    1    4
   52  136     9.138    1    2
   53  138    10.247    1    7
   49  130     1.087    0    3
   55  146     5.945    1    2
   54  142    11.994    2    2
   54  140    12.844    2    2
   52  134     8.922    1    1
   51  135     8.849    1    1
   52  135    17.484    2    3
   57  147    10.866    1    6
   54  141    11.808    2    1
   53  136    14.586    1    5
   59  155    13.658    2    4
   57  146     7.745    1    5
   58  151    20.606    3    4
   52  133    10.470    1    5
   56  147    18.491    3    5
   55  144     6.776    1    7
   52  137     8.679    1    4
   56  148    12.519    2    4
   54  140    12.502    1    2
   52  133    10.329    1    2
   53  138    11.197    2    1
   58  148     9.656    1    5
   50  132     9.753    1    2
   59  150    11.680    1    5
   52  135     5.238    1    1
   51  134    16.062    2    5
   53  138    15.453    2    7
   52  136     9.318    1    2
   54  141     3.576    0    4
   58  150    16.574    2    6
   56  146     4.804    0    4
   56  146    13.060    2    3
   55  145     9.681    1    4
   55  142     8.677    1    3
   53  141     3.755    0    3
   55  144     9.773    1    4
   53  137     8.707    1    3
   51  136     4.838    1    2
   54  141     7.719    1    3
   52  136    15.412    2    3
   58  153    16.745    3    2
   54  142     6.484    1    2
   56  148    11.215    2    3
   57  150    10.047    1    4
   54  141     7.498    1    3
   57  148     9.050    1    4
   54  139    11.411    2    1
   52  132     7.284    0    2
   55  143    12.294    2    2
   52  138     8.954    1    4
   56  143    10.069    1    4
   52  138     8.508    1    8
   51  132    14.410    1    2
   50  131    13.360    1    3
   51  133     6.857    0    2
   55  142     6.478    1    3
   54  140    12.741    2    3
   57  147    11.891    1    5
   52  136     7.731    1    2
   54  141     9.294    1    3
   51  136    10.701    2    1
   52  135    12.176    1    2
   55  144    10.268    2    2
   53  136     6.886    1    1
   51  133     8.286    0    2
   55  142    12.464    2    3
   51  132     5.715    0    3
   55  142     9.703    1    5
   53  137     4.939    0    4
   52  135    14.983    2    2
   53  138    11.203    2    1
   54  142     7.735    1    3
   54  143     7.018    1    4
   54  138    11.191    1    3
   52  135     9.323    1    4
   56  146     9.712    1    3
   58  154    16.939    2    4
   49  129     5.998    0    4
   52  137     7.373    1    3
   51  133     8.601    1    1
   55  142     2.789    0    3
   55  143     9.971    1    5
   54  141     3.957    1    1
   57  148     7.834    1    4
   56  145     0.783    0    2
   52  139     9.930    2    7
   52  136     9.008    1    6
   55  141     8.676    1    3
   54  141    11.544    1    5
   54  140     6.077    0    4
   51  133    14.052    1    3
   54  141    12.061    1    2
   56  145    13.370    2    2
   53  136     8.404    1    4
   51  134     9.531    1    1
   52  137    15.520    2    7
   51  133     5.302    0    2
   53  139    16.636    2    5
   53  139    12.055    2    3
   56  145     9.261    1    6
   54  138     8.751    1    2
   57  149    14.174    2    1
   55  142     8.765    1    5
   51  132     3.198    0    1
   50  131    12.622    1    2
   55  140     7.494    1    6
   56  146    15.356    2    5
   56  146    16.737    2    4
   49  126    15.291    2    1
   57  149     7.872    1    5
   58  149    13.828    2    2
   52  135    13.955    2    1
   54  139     7.469    1    3
   53  136     6.070    1    1
   57  148     8.939    1    4
   57  149     7.964    1    1
   55  144     7.280    1    4
   54  138    10.752    1    4
   56  145    11.285    1    5
   57  148     4.374    0    5
   54  138    14.644    2    2
   57  146    11.729    1    6
   55  140     4.599    0    2
   52  136     7.506    1    4
   54  139     9.791    1    5
   52  134     2.442    0    1
   58  151    15.207    2    6
   50  133     3.979    1    1
   50  131     9.935    1    2
   53  139     8.995    1    4
   55  143     6.085    1    2
   54  138     2.333    0    3
   54  139    11.852    1    5
   52  137     8.295    1    5
   51  135    11.624    1    5
   51  135     9.912    2    2
   53  137     6.880    1    3
   51  132     0.581    0    1
   60  155     6.138    1    1
   49  129     4.094    0    7
   55  142     7.537    1    4
   55  143    14.560    2    3
   52  134     9.057    1    1
   55  139     8.365    1    3
   55  144     8.718    1    4
   58  150    18.636    2    6
   57  148    11.641    2    2
   56  145     5.765    1    3
   53  138     8.610    1    3
   55  140    11.075    1    6
   58  151     8.612    1    5
   52  134    10.298    1    1
   51  136    13.854    2    5
   51  133    11.900    0    5
   56  147    19.404    3    3
   56  144    14.221    2    3
   50  128     8.448    0    3
   52  136    10.954    1    2
   58  149    18.279    2    9
   55  141     8.118    0    8
   55  144     9.960    1    5
   51  133     5.061    0    2
   54  141     6.786    1    4
   58  152    12.537    2    4
   53  137    13.404    1    3
   53  139    12.623    2    4
   57  146     4.286    0    3
   55  141    10.852    1    4
   52  135     9.050    1    1
   54  142    11.918    1    5
   56  145     4.960    1    2
   56  147     6.165    1    6
   53  139     4.134    0    3
   49  129    10.736    1    5
   56  147     6.942    1    4
   54  138     3.749    0    1
   52  135    13.000    1    2
   58  149     9.056    1    7
   48  125     3.216    0    3
   50  129     4.839    0    4
   54  143     9.165    1    8
   50  131    12.496    1    2
   54  140    10.991    2    2
   54  138    10.975    1    2
   53  136     7.760    1    4
   49  131     5.765    0    5
   55  143    13.771    2    2
   54  143    16.640    3    3
   57  148    14.718    2    2
   54  139    11.047    1    3
   52  133    14.285    1    5
   58  150    11.020    1    4
   58  150    12.505    1    5
   49  128    14.306    1    3
   49  127     8.022    1    1
   52  137    11.342    2    2
   49  128     6.807    1    1
   51  130     4.890    0    2
   51  132     7.227    1    1
   54  140     5.985    1    1
   53  139     7.977    1    3
   53  139    11.635    1    9
   54  138     8.088    1    2
   55  143    12.652    2    2
   55  143    10.463    1    7
   55  140    11.271    1    3
   53  137    11.038    1    3
   53  138    10.690    2    1
   52  134    11.563    1    2
   49  130     4.763    0    3
   51  132    11.218    1    3
   56  147     0.960    0    2
   54  140     8.172    1    1
   56  147    14.021    2    3
   55  144    13.269    2    8
   50  132    10.691    1    2
   56  144    11.476    1    4
   50  133     9.213    1    1
   53  136     6.181    1    1
   55  142    12.933    2    5
   57  147     7.700    1    2
   58  152    19.033    2    3
   49  128    13.366    1    4
   57  149    13.901    2    6
   58  148    14.738    2    3
   51  135     8.261    1    3
   51  132     9.739    1    2
   52  138     9.160    1    7
   57  146     5.530    0    6
   58  152    14.718    2    3
   52  135    10.673    1    2
   51  132    10.426    1    4
   55  144     6.632    1    3
   52  134    12.385    1    1
   59  152    14.877    2    3
   50  134     0.128    0    0
   51  133    10.725    1    6
   54  140     4.789    0    5
   59  151     6.918    0    5
   49  124    12.081    1    3
   54  142    10.233    1    6
   52  135    10.980    1    2
   55  144     7.476    1    5
   52  134    10.568    1    1
   53  138     8.118    1    3
   50  132     8.707    1    2
   51  134    11.737    1    2
   53  134     7.607    1    2
   57  146    11.172    1    6
   51  132     7.057    1    2
   54  141     6.433    1    3
   54  140     6.195    1    0
   53  137     2.925    0    3
   56  141     9.526    1    3
   52  135     1.377    0    2
   53  135     8.778    1    2
   53  140     9.202    2    1
   51  134     4.587    0    8
   55  143     7.256    1    4
   54  141     7.623    1    4
   59  152    11.446    1    4
   54  143     7.522    1    5
   58  150     4.333    0    6
   57  148    13.167    1    3
   52  138     9.846    1    5
   52  133     4.531    0    2
   55  143     3.023    0    3
   51  132     9.071    1    1
   53  137    10.515    1    4
   51  134    12.135    1    3
   51  135    13.224    2    2
   55  144    12.710    2    2
   54  140     3.385    0    7
   52  138     7.036    1    4
   58  149     7.964    1    5
   53  135    11.362    1    8
   53  138     7.479    1    5
   53  136     7.493    1    4
   55  143    12.653    2    3
   55  143     8.403    1    4
   58  150    15.755    2    5
   54  139    12.471    1    6
   54  139     8.716    1    3
   52  137     6.552    1    2
   55  143     2.198    0    3
   52  134     3.188    0    1
   51  132     8.680    1    1
   59  155    22.377    3    3
   52  135     9.364    1    2
   51  133    12.709    1    3
   52  138    10.535    2    3
   52  136    15.103    2    1
   51  135     7.483    1    5
   54  141    14.778    3    1
   53  138    12.075    2    1
   54  140     4.633    0    6
   51  132     3.194    0    4
   52  137    13.595    2    2
   52  137     8.133    1    4
   53  138     9.951    1    4
   53  138    12.902    2    2
   54  137     8.648    1    1
   52  136     2.203    0    3
   52  136     8.877    1    3
   51  136     6.144    1    2
   51  132     9.477    1    2
   53  139     8.913    1    4
   57  146     4.386    1    0
   58  149    10.177    1    6
   54  141     7.926    1    3
   52  137     8.890    1    1
   55  141     8.660    1    3
   55  143    13.103    2    1
   55  145    12.640    2    2
   55  142     4.124    0    3
   50  129    14.480    1    3
   52  135     8.194    1    1
   55  144    13.785    2    4
   52  133     7.949    1    1
   53  138    12.541    2    2
   53  139     9.814    2    1
   54  141     5.041    1    2
   55  142     6.555    1    2
   52  134    10.545    1    2
   54  139    11.451    2    2
   53  138    10.048    2    1
   54  140    14.318    2    4
   52  137    16.791    3    2
   54  141     7.373    1    5
   54  137     8.556    1    3
   50  130     8.383    1    2
   52  134    12.362    1    4
   52  136     8.753    1    2
   54  140    13.267    2    3
   53  133     4.077    0    3
   55  142    10.583    1    5
   50  130     4.238    0    4
   53  139     8.653    1    5
   54  140     9.918    1    2
   53  138     6.669    1    2
   53  138    12.494    2    9
   52  137     4.235    0    6
   55  143    14.085    2    5
   51  134     8.960    1    2
   53  142    13.805    2    4
   52  134     3.989    0    1
   50  131     5.931    1    1
   55  143     6.418    1    3
   57  149    12.106    1    7
   56  143     7.151    1    4
   58  149     8.875    1   10
   56  146     9.809    1    4
   53  139     4.236    0    3
   51  134     7.549    1    2
   55  141     4.148    0    3
   52  136     5.566    0    4
   50  131    11.619    1    3
   53  139    12.981    2    6
   56  146    11.617    2    1
   51  134     6.792    1    2
   51  132     2.708    0    2
   54  140    12.555    2    3
   56  146     8.042    1    2
   52  133    12.427    1    2
   62  156     8.429    1    2
   53  138    10.812    2    3
   53  139     5.826    1    1
   53  138     8.211    1    3
   52  134     2.383    0    1
   52  138    13.164    2    3
   54  139     8.064    1    3
   55  142    13.042    1    6
   53  138    12.705    2    2
   55  146     8.335    1    3
   56  144    11.025    1    5
   51  133     7.682    1    1
   52  135    14.055    2    1
   54  138    10.480    1    3
   55  143    15.066    2    2
   54  140     9.060    1    4
   54  139    12.196    2    2
   54  141     8.643    1    3
   54  138    14.357    2    3
   58  152    19.339    2    5
   50  135     7.720    1    5
   54  142     6.603    1    3
   52  134     7.513    0    3
   54  139     5.035    1    2
   58  150     9.944    1    3
   56  147     4.114    0    5
   57  147    16.702    2    4
   53  138    11.749    1    3
   49  129     8.024    1    2
   55  142     8.408    1    6
   56  143     8.429    1    7
   50  131     5.362    1    0
   55  142     2.027    0    5
   50  131     9.397    1    3
   51  133     3.407    0    1
   50  131     8.964    1    1
   52  133    13.549    1    4
   55  142     6.917    1    3
   50  132     3.557    0    1
   50  130     9.425    0    4
   55  143     4.048    0    1
   57  147    15.045    2    3
   50  129     9.546    1    1
   54  140     2.401    0    3
   53  140    15.041    2    7
   56  144    12.609    2    3
   55  145     8.680    1    4
   56  145    13.109    1    9
   50  130     4.466    0    4
   55  144    10.074    1    7
   51  133     5.587    0    2
   51  133    10.804    1    2
   55  141     6.173    0    5
   54  140    11.181    2    2
   54  140     7.410    1    1
   51  133     8.466    1    1
   53  140     5.935    1    5
   52  135     5.081    1    1
   52  136     9.020    1    1
   52  135     7.838    1    6
   52  137     8.915    1    6
   51  131     3.904    0    4
   54  140     6.648    1    1
   54  138    14.506    2    2
   56  148    15.414    2    4
   53  135    11.080    1    1
   52  137    12.856    2    1
   51  135     2.979    0    2
   53  137     6.189    1    3
   54  141    12.494    2    2
   49  130     3.507    0    7
   51  131     3.100    0    2
   56  148    10.028    1    6
   51  131     4.996    0    2
   53  138     8.575    1    3
   54  137    10.617    1    1
   53  140    10.078    2    2
   53  137     4.216    0    2
   56  145    13.136    1    5
   56  147    10.441    2    2
   51  136    10.308    2    2
   51  130     2.541    0    3
   52  135     6.109    1    1
   53  139    16.235    2    4
   52  134     8.449    0    4
   54  140     9.195    1    2
   57  147     7.199    1    2
   56  145    12.127    2    3
   52  137     3.354    0    4
   53  135     7.923    0    3
   59  149     4.449    0    4
   58  148     8.398    1    4
   50  128     7.270    0    3
   53  138     9.545    1    2
   51  133     2.920    0    2
   56  142     2.507    0    4
   53  140    13.600    3    0
   57  150    10.901    1    6
   54  140     9.584    1    2
   51  135    13.922    2    2
   52  136     9.373    1    1
   53  138    14.551    2    5
   53  138     8.452    1    2
   59  153    11.875    1    3
   51  132    11.427    1    3
   56  148    16.672    2    5
   53  138    10.467    2    1
   56  144     9.855    1    5
   52  137    10.753    2    2
   54  141     9.162    1    4
   54  141    15.394    2    3
   56  147     5.861    1    3
   56  144     8.725    1    2
   57  144    10.033    1    3
   56  145    10.597    1    7
   53  136    12.954    1    2
   53  135     7.021    0    3
   52  136    15.200    2    5
   57  152    10.875    2    1
   55  146     7.583    1    2
   57  148    14.390    2    3
   60  153     7.948    1    5
   52  133    10.939    1    2
   54  140    12.638    1    3
   58  151    16.276    2    2
   57  149    11.637    1    7
   55  141    15.945    2    5
   53  137     6.426    0    7
   55  143     7.342    1    5
   51  134     7.825    1    2
   57  147     9.594    1    2
   56  144    12.475    1    3
   55  142     9.635    1    4
   54  141    11.923    1    8
   54  141     8.165    1    4
   55  141    10.716    1    4
   55  141     4.928    0    4
   52  136     8.662    1    1
   58  147     8.942    1    3
   57  150    10.725    1    7
   55  142    12.185    2    3
   52  136    14.946    1    5
   54  145    14.152    3    1
   53  138     4.496    1    1
   52  135     6.839    1    1
   55  141     9.659    1    3
   55  142     7.810    1    2
   50  132    11.904    1    2
   56  148     7.086    1    3
   52  135    16.325    1    2
   54  143    11.980    2    4
